date,country,confirmed,recovered,deaths
2020-05-21 00:00:00,Afghanistan,8676,938,193
2020-05-22 00:00:00,Afghanistan,9216,996,205
2020-05-23 00:00:00,Afghanistan,9952,1040,215
2020-05-24 00:00:00,Afghanistan,10668,1075,222
2020-05-25 00:00:00,Afghanistan,11180,1097,223
2020-05-26 00:00:00,Afghanistan,11917,1128,224
2020-05-27 00:00:00,Afghanistan,12465,1138,230
2020-05-28 00:00:00,Afghanistan,13102,1209,239
2020-05-29 00:00:00,Afghanistan,13745,1259,250
2020-05-30 00:00:00,Afghanistan,14529,1303,252
2020-05-31 00:00:00,Afghanistan,15180,1328,254
2020-06-01 00:00:00,Afghanistan,15836,1428,269
2020-06-02 00:00:00,Afghanistan,16578,1450,274
2020-06-03 00:00:00,Afghanistan,17353,1522,298
2020-06-04 00:00:00,Afghanistan,17977,1585,303
2020-06-05 00:00:00,Afghanistan,19055,1762,313
2020-06-06 00:00:00,Afghanistan,19637,1830,331
2020-06-07 00:00:00,Afghanistan,20428,1875,361
2020-06-08 00:00:00,Afghanistan,21003,2171,373
2020-06-09 00:00:00,Afghanistan,21308,2651,380
2020-06-10 00:00:00,Afghanistan,22228,3013,409
2020-06-11 00:00:00,Afghanistan,22976,3326,430
2020-06-12 00:00:00,Afghanistan,23632,3928,450
2020-06-13 00:00:00,US,23632,3928,450
